temperature_c,rmax_kohm,rcent_kohm,rmin_kohm
166,0.2396,0.2285,0.2178
167,0.2352,0.2242,0.2137
168,0.2309,0.2201,0.2097
169,0.2267,0.2160,0.2058
170,0.2226,0.2120,0.2020
171,0.2185,0.2082,0.1983
172,0.2146,0.2044,0.1946
173,0.2108,0.2007,0.1911
174,0.2070,0.1971,0.1876
175,0.2033,0.1935,0.1842
176,0.1997,0.1901,0.1809
177,0.1962,0.1867,0.1776
178,0.1928,0.1834,0.1744
179,0.1894,0.1802,0.1713
180,0.1861,0.1770,0.1683
181,0.1829,0.1739,0.1653
182,0.1798,0.1709,0.1624
183,0.1767,0.1679,0.1596
184,0.1737,0.1650,0.1568
185,0.1707,0.1622,0.1541
186,0.1678,0.1594,0.1515
187,0.1650,0.1567,0.1489
188,0.1623,0.1541,0.1463
189,0.1596,0.1515,0.1438
190,0.1569,0.1490,0.1414
191,0.1543,0.1465,0.1390
192,0.1518,0.1440,0.1367
193,0.1493,0.1417,0.1344
194,0.1469,0.1393,0.1322
195,0.1445,0.1370,0.1300
196,0.1421,0.1348,0.1278
197,0.1399,0.1326,0.1257
198,0.1376,0.1305,0.1237
199,0.1354,0.1284,0.1217
200,0.1333,0.1263,0.1197
201,0.1312,0.1243,0.1178
202,0.1291,0.1223,0.1159
203,0.1271,0.1204,0.1140
204,0.1251,0.1185,0.1122
205,0.1232,0.1166,0.1104
206,0.1213,0.1148,0.1087
207,0.1194,0.1130,0.1070
208,0.1176,0.1113,0.1053
209,0.1158,0.1096,0.1037
210,0.1140,0.1079,0.1021
211,0.1123,0.1063,0.1005
212,0.1106,0.1046,0.0990
213,0.1090,0.1031,0.0975
214,0.1074,0.1015,0.0960
215,0.1058,0.1000,0.0945
216,0.1042,0.0985,0.0931
217,0.1027,0.0971,0.0917
218,0.1012,0.0956,0.0904
219,0.0997,0.0942,0.0890
220,0.0983,0.0928,0.0877
221,0.0968,0.0915,0.0864
222,0.0955,0.0902,0.0852
223,0.0941,0.0889,0.0839
224,0.0928,0.0876,0.0827
225,0.0914,0.0863,0.0815
226,0.0902,0.0851,0.0803
227,0.0889,0.0839,0.0792
228,0.0877,0.0827,0.0781
229,0.0864,0.0816,0.0770
230,0.0852,0.0804,0.0759
231,0.0841,0.0793,0.0748
232,0.0829,0.0782,0.0738
233,0.0818,0.0771,0.0727
234,0.0807,0.0761,0.0717
235,0.0796,0.0750,0.0707
236,0.0785,0.0740,0.0698
237,0.0775,0.0730,0.0688
238,0.0764,0.0720,0.0679
239,0.0754,0.0711,0.0670
240,0.0744,0.0701,0.0661
241,0.0735,0.0692,0.0652
